# Title : Technical directory file of the Argo Global Data Assembly Center
# Description : The directory file describes all technical files of the argo GDAC ftp site.
# Project : ARGO
# Format version : 2.0
# Date of update : 20200329162202
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/argo/dac
# FTP root number 2 : ftp://usgodae.org/pub/outgoing/argo/dac
# GDAC node : CORIOLIS
file,institution,date_update
aoml/1900440/1900440_tech.nc,AO,20181024200721
aoml/1900441/1900441_tech.nc,AO,20181024200724
aoml/1900442/1900442_tech.nc,AO,20181024200729
aoml/1900443/1900443_tech.nc,AO,20181024200735
aoml/1900444/1900444_tech.nc,AO,20160421193338
aoml/1900445/1900445_tech.nc,AO,20181016200623
aoml/1900446/1900446_tech.nc,AO,20160421193331
aoml/1900447/1900447_tech.nc,AO,20160421193329
aoml/1900449/1900449_tech.nc,AO,20160421193031
aoml/1900487/1900487_tech.nc,AO,20160421193041
aoml/1900488/1900488_tech.nc,AO,20181016200609
aoml/1900489/1900489_tech.nc,AO,20160421193045
aoml/1900490/1900490_tech.nc,AO,20160421193540
aoml/1900491/1900491_tech.nc,AO,20160421193544
aoml/1900492/1900492_tech.nc,AO,20181016200946
aoml/1900493/1900493_tech.nc,AO,20181016200949
aoml/1900494/1900494_tech.nc,AO,20160421194330
aoml/1900495/1900495_tech.nc,AO,20181016200952
aoml/1900496/1900496_tech.nc,AO,20160421194352
aoml/1900497/1900497_tech.nc,AO,20160421193522
aoml/1900498/1900498_tech.nc,AO,20160421193515
aoml/1900499/1900499_tech.nc,AO,20160421193518
aoml/1900500/1900500_tech.nc,AO,20160421194550
aoml/1900501/1900501_tech.nc,AO,20160421194545
aoml/1900502/1900502_tech.nc,AO,20160421194542
aoml/1900503/1900503_tech.nc,AO,20160421194542
aoml/1900504/1900504_tech.nc,AO,20190226210047
aoml/1900505/1900505_tech.nc,AO,20160421194557
aoml/1900506/1900506_tech.nc,AO,20181016201110
aoml/1900525/1900525_tech.nc,AO,20160421195145
aoml/1900526/1900526_tech.nc,AO,20160421195148
aoml/1900527/1900527_tech.nc,AO,20190226210057
aoml/1900528/1900528_tech.nc,AO,20181016201145
aoml/1900529/1900529_tech.nc,AO,20160421194936
aoml/1900530/1900530_tech.nc,AO,20160421195205
aoml/1900531/1900531_tech.nc,AO,20190226210139
aoml/1900532/1900532_tech.nc,AO,20170412003536
aoml/1900533/1900533_tech.nc,AO,20190226210136
aoml/1900534/1900534_tech.nc,AO,20190226210142
aoml/1900535/1900535_tech.nc,AO,20160421201326
aoml/1900536/1900536_tech.nc,AO,20160421201322
aoml/1900537/1900537_tech.nc,AO,20160421201320
aoml/1900538/1900538_tech.nc,AO,20160421201319
