# Title : Bio-Profile directory file of the Argo Global Data Assembly Center
# Description : The directory file describes all individual bio-profile files of the argo GDAC ftp site.
# Project : ARGO
# Format version : 2.2
# Date of update : 20230426142402
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/argo/dac
# FTP root number 2 : ftp://usgodae.org/pub/outgoing/argo/dac
# GDAC node : CORIOLIS
file,date,latitude,longitude,ocean,profiler_type,institution,parameters,parameter_data_mode,date_update
coriolis/3902131/profiles/BR3902131_041.nc,20180603120220,-6.645,5.734,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083729
coriolis/3902131/profiles/BR3902131_042.nc,20180605120820,-6.671,5.694,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083729
coriolis/3902131/profiles/BR3902131_043.nc,20180607120220,-6.742,5.673,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083731
coriolis/3902131/profiles/BR3902131_044.nc,20180609120020,-6.781,5.642,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083732
coriolis/3902131/profiles/BR3902131_045.nc,20180611120440,-6.842,5.640,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083733
coriolis/3902131/profiles/BR3902131_046.nc,20180613115920,-6.858,5.634,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083734
coriolis/3902131/profiles/BR3902131_047.nc,20180615120020,-6.922,5.653,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083735
coriolis/3902131/profiles/BR3902131_048.nc,20180617120320,-6.994,5.658,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083736
coriolis/3902131/profiles/BR3902131_049.nc,20180619120620,-7.073,5.738,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083737
coriolis/3902131/profiles/BR3902131_050.nc,20180621115940,-7.109,5.804,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083738
coriolis/3902131/profiles/BR3902131_051.nc,20180623120520,-7.088,5.819,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083739
coriolis/3902131/profiles/BR3902131_052.nc,20180625115820,-7.112,5.892,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083740
coriolis/3902131/profiles/BR3902131_053.nc,20180627115720,-7.051,5.971,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083741
coriolis/3902131/profiles/BR3902131_054.nc,20180629115320,-6.977,6.012,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083742
coriolis/3902131/profiles/BR3902131_055.nc,20180701115240,-6.872,6.052,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083743
